obsnum,norad,rcs,new?,eventType
1165782856,13720,0.0341,False,flare
1165782736,24809,9.8843,False,steady
1165782496,23640,9.7539,False,steady
1165781416,34038,0.023,False,flare
1165776496,36597,8.7234,False,steady
1165776256,31123,5.2387,False,steady
1165775896,37214,6.2136,False,steady
1165775656,34120,0.0722,False,flare
1165771576,37849,5.7802,False,steady
1165770376,25039,3.2094,False,steady
1165770256,2144,6.0394,False,steady
1165770256,17807,0.0325,False,flare
1165769176,32320,0.0071,False,flare
1165768576,41337,6.1649,False,steady
1165767376,35931,4.0639,False,steady
1165766296,24298,8.4888,False,steady
1165766296,36327,0.0058,False,flare
1165765936,2142,12.1059,False,steady
1165765816,25759,6.0619,False,steady
1165763536,29110,5.065,False,steady
1165763536,39731,4.2216,False,steady
1165762936,40336,3.7804,False,steady
1165762336,41659,0.0026,False,flare
1165762216,41294,0.0023,False,flare
1165760896,39177,16.049,False,steady
1165759696,33504,4.1823,False,steady
1165758256,31033,0.015,False,flare
1165757896,41332,0.6144,False,steady
1165757056,40288,0.0829,False,steady
1165753576,11081,8.298,False,steady
1165752856,31040,0.0031,False,flare
1160505712,24793,3.3209,False,steady
1160505112,24794,3.2266,False,steady
1160504872,33318,4.6389,False,steady
1160504272,17974,9.0503,False,steady
1160503672,24971,3.912,False,steady
1160503312,7350,4.1709,False,flare
1160503192,25394,6.8102,False,flare
1160502952,38272,0.0163,False,flare
1160502232,24920,1.3502,False,steady
1160500192,10974,4.122,False,steady
1160499712,28773,4.1445,False,steady
1160499352,21819,7.324,False,steady
1160498872,40262,7.4723,False,steady
1160495872,16681,1.8549,False,flare
1160493712,26546,0.2143,False,flare
1160492992,10793,9.056,False,steady
1160491312,35689,4.8796,False,steady
1160489992,41620,6.7064,False,steady
1160489152,38771,13.648,False,steady
1160489152,41605,0.186,False,flare
1160489032,38341,17.152,False,steady
1160483992,17589,4.1063,False,steady
1160483272,22568,0.04,False,flare
1160482912,32958,6.5849,False,steady
1160482432,36658,0.0157,False,flare
1160481712,31509,0.0095,False,flare
1160480992,20974,0.0098,False,flare
1160479912,12785,5.6944,False,steady
1157489632,31699,5.922,False,steady
1157469232,33504,4.1823,False,steady
1157459032,28931,13.593,False,steady
1157406472,14820,3.8208,False,steady
1157406472,26374,1.835,False,steady
1157402272,13513,0.0061,False,flare
1157401672,7275,6.367,False,steady
1157400472,26930,0.4017,False,flare
1157398072,36594,6.2911,False,steady
1157384272,40261,2.255,False,steady
1157378272,29499,11.2479,False,steady
